"","","Accuracy","Play Count","Performance","SS","S","A"
"#4408","jpg","97.74%","72,097","7,757","46","616","959"
"#4409","alpha-centauri","99.05%","69,541","7,757","155","954","1,272"
"#4410","Mio-","98.45%","66,266","7,756","17","620","1,129"
"#4411","persistent","98.85%","16,792","7,756","5","113","348"
"#4412","PickaBoB","98.85%","80,174","7,755","23","721","1,367"
"#4413","leoanto","97.82%","55,273","7,755","35","350","797"
"#4414","[PLA]","96.83%","66,003","7,755","8","730","999"
"#4415","remiv","94.52%","46,827","7,755","13","189","312"
"#4416","Vocal","98.71%","102,135","7,755","104","1,254","1,180"
"#4417","Mornis","98.82%","62,004","7,754","88","1,491","1,618"
"#4418","souljaboitellem","98.59%","68,886","7,754","0","153","1,032"
"#4419","Lightspeed","97.70%","87,668","7,753","149","939","1,183"
"#4420","noobdanet","99.44%","19,286","7,753","100","429","561"
"#4421","Shleffles","98.48%","60,944","7,753","94","917","1,574"
"#4422","Brummen","98.40%","108,546","7,753","45","725","701"
"#4423","KaliLife","98.75%","70,111","7,753","14","1,279","915"
"#4424","KagaR","98.74%","75,439","7,752","149","1,625","869"
"#4425","Legless","98.79%","81,659","7,752","60","1,643","910"
"#4426","BlackFrost","98.86%","95,476","7,752","40","768","846"
"#4427","Zakuan","99.05%","71,135","7,752","119","1,566","1,169"
"#4428","Pilesh","97.93%","47,762","7,751","17","600","943"
"#4429","Hagawobla","98.90%","65,172","7,751","47","259","728"
"#4430","Nakko","97.15%","74,731","7,751","182","599","559"
"#4431","xzemiyl","95.27%","61,085","7,751","27","266","674"
"#4432","cristian-","99.29%","55,412","7,751","22","662","748"
"#4433","chadd","98.45%","35,573","7,751","60","495","1,373"
"#4434","DIMAS_MIDAS","98.16%","82,321","7,750","36","749","778"
"#4435","Shott","99.35%","192,580","7,750","90","1,796","1,652"
"#4436","Ophiz","98.74%","51,266","7,750","62","1,970","2,369"
"#4437","aTaco","97.70%","56,513","7,749","21","424","1,083"
"#4438","Lee Jung Hyun","97.87%","70,448","7,749","167","1,503","1,123"
"#4439","NN4","96.52%","74,844","7,748","80","564","369"
"#4440","sanduleacFTW","96.45%","55,144","7,748","13","443","673"
"#4441","Tms_Est","98.73%","55,521","7,748","13","859","1,144"
"#4442","_CheckAndMate","99.34%","85,048","7,747","175","688","2,075"
"#4443","berb","95.98%","42,410","7,747","99","700","683"
"#4444","datcatt","98.93%","44,187","7,746","42","844","833"
"#4445","WeanXianzheng","99.12%","60,870","7,745","120","1,384","445"
"#4446","932","97.82%","61,980","7,745","14","311","647"
"#4447","murasaki_sk","99.05%","158,528","7,745","375","1,842","334"
"#4448","MizuSK","97.40%","86,761","7,744","35","1,313","928"
"#4449","HynobisForus","98.75%","34,858","7,744","37","758","504"
"#4450","Surpy","99.05%","69,001","7,743","43","783","1,933"
"#4451","Alleros","98.58%","127,415","7,743","710","5,321","1,199"
"#4452","Useful","98.49%","81,520","7,743","127","1,112","398"
"#4453","jae_are","98.07%","48,219","7,743","7","439","2,576"
"#4454","ARandumbGuy","99.21%","48,021","7,742","119","646","891"
"#4455","Liontree997","97.14%","33,942","7,742","136","791","1,368"
"#4456","Mah0","96.05%","32,084","7,742","2","132","411"
"#4457","iRiptide","99.00%","42,737","7,741","15","809","929"
"#4458","common","96.76%","36,944","7,741","26","398","617"
"#4459","[ Flashoky ]","97.82%","86,192","7,741","55","503","421"
"#4460","DragonMemer","99.12%","37,648","7,741","114","628","543"
"#4461","[CloudSerpent]","99.26%","28,082","7,741","39","415","871"
"#4462","spirit flare","98.56%","80,430","7,740","28","688","1,054"
"#4463","Sobtraxx","97.50%","37,500","7,740","83","1,506","1,753"
"#4464","Rixia Mao","97.56%","21,087","7,739","38","765","189"
"#4465","FreshMint","97.80%","88,363","7,739","56","454","650"
"#4466","-[Re_Origin]-","96.78%","35,316","7,739","35","370","344"
"#4467","Kyschel","99.24%","90,830","7,738","45","541","627"
"#4468","Sanzai","99.16%","63,265","7,738","24","703","941"
"#4469","intu13","98.05%","62,799","7,736","631","527","296"
"#4470","Boltzera","97.91%","62,111","7,736","7","661","1,534"
"#4471","iolight","98.17%","62,373","7,736","22","614","1,245"
"#4472","Albaedo","99.20%","70,314","7,735","42","462","650"
"#4473","Vizlio","98.55%","49,848","7,735","13","501","1,269"
"#4474","Dozom","98.01%","69,250","7,734","37","490","1,051"
"#4475","zisamEr","99.48%","54,258","7,734","1,868","1,375","414"
"#4476","B O X","97.64%","117,360","7,734","12","587","973"
"#4477","Cryaq","98.59%","108,743","7,733","76","865","860"
"#4478","LeSombra","98.25%","48,214","7,733","6","341","435"
"#4479","Geon","99.04%","29,535","7,733","28","465","762"
"#4480","Sonka","96.95%","25,455","7,733","18","505","490"
"#4481","killerzombie453","98.98%","64,517","7,732","147","1,286","282"
"#4482","[Sagetora]","99.04%","25,653","7,731","15","684","230"
"#4483","Marimgorgar","99.29%","22,630","7,731","10","459","1,417"
"#4484","Thorfaen","97.73%","93,341","7,731","146","866","1,389"
"#4485","b0bas","97.67%","167,082","7,730","452","2,891","2,796"
"#4486","migra100","97.00%","54,413","7,730","23","381","398"
"#4487","Yoni","98.12%","71,434","7,730","89","942","866"
"#4488","Pictures","99.01%","61,593","7,730","55","660","1,036"
"#4489","captin1","99.10%","58,627","7,730","94","1,699","1,385"
"#4490","Arividerchi","96.72%","165,749","7,729","13","735","1,555"
"#4491","Nekoyase","98.63%","43,839","7,729","87","694","662"
"#4492","Conq","96.22%","48,451","7,729","19","393","898"
"#4493","Asada-san","99.17%","67,401","7,729","365","1,557","1,213"
"#4494","Bucket","97.54%","37,978","7,729","4","156","315"
"#4495","Minagawa Akane","97.53%","23,080","7,729","16","404","658"
"#4496","Crimson Dragon","98.73%","82,533","7,729","102","1,250","1,367"
"#4497","Luziferx1337","97.29%","43,834","7,728","8","359","456"
"#4498","lyuteily","99.08%","33,325","7,727","190","886","1,020"
"#4499","jehlp","97.93%","246,258","7,727","1,441","16,039","1,649"
"#4500","Sky_Delta","99.19%","117,777","7,727","94","959","835"
"#4501","quattro cani","98.54%","60,836","7,727","11","557","778"
"#4502","Cyxsound","98.56%","49,295","7,726","104","895","852"
"#4503","mepbee","98.87%","49,615","7,726","13","790","681"
"#4504","Sakuya","98.68%","80,904","7,725","48","761","1,942"
"#4505","SosikuKawaiiHog","98.37%","61,897","7,725","68","683","502"
"#4506","_Ashen_","98.10%","42,854","7,724","24","586","489"
"#4507","Lacrimosa","99.05%","80,056","7,724","162","1,036","672"
"#4508","Maggy","99.45%","116,443","7,724","93","854","1,287"
"#4509","Chi ki","99.53%","74,679","7,723","872","2,184","582"
"#4510","twinh","98.15%","30,243","7,723","18","417","664"
"#4511","0e4ef622","99.37%","42,573","7,723","38","439","1,111"
"#4512","Chizu-Kun","98.00%","52,073","7,722","11","317","577"
"#4513","jeydude","98.92%","66,300","7,722","281","2,636","658"
"#4514","Reinaru","99.24%","63,920","7,722","92","1,060","1,846"
"#4515","vvnb","99.05%","95,276","7,721","58","978","1,067"
"#4516","-Jamie","99.19%","72,916","7,721","50","1,528","1,155"
"#4517","ignakos","95.49%","40,623","7,720","1","111","436"
"#4518","Lako","99.49%","80,970","7,720","90","1,287","1,872"
"#4519","Rykerov","97.26%","40,231","7,720","30","517","530"
"#4520","Tenaxzity","99.31%","60,610","7,720","54","700","1,409"
"#4521","Zenmaistermolla","98.74%","121,202","7,719","17","755","732"
"#4522","RaidyHD","96.88%","63,381","7,719","44","856","905"
"#4523","Ultimatum","99.18%","42,481","7,719","193","1,528","1,503"
"#4524","Tsunyan","99.02%","121,139","7,718","633","4,886","2,376"
"#4525","Kubabow","98.11%","74,066","7,718","17","968","1,067"
"#4526","Foussilin","98.36%","74,949","7,718","294","2,165","1,378"
"#4527","-Hasaki-","98.01%","67,216","7,717","279","1,428","1,444"
"#4528","tastynub","99.07%","109,248","7,717","343","3,239","2,931"
"#4529","Emilly","97.77%","75,799","7,717","1,429","4,975","5,187"
"#4530","Jaden Kim","97.11%","43,596","7,717","34","768","1,030"
"#4531","Space tourist","98.66%","97,971","7,717","109","1,211","1,913"
"#4532","[- ZiinHG -]","97.80%","82,285","7,716","45","490","1,046"
"#4533","Uruha Rushia","97.65%","41,694","7,716","31","649","1,590"
"#4534","KniVe","99.26%","112,874","7,716","40","533","664"
"#4535","yotogi","98.69%","54,683","7,716","21","485","1,163"
"#4536","I Emma I","98.50%","25,613","7,716","41","749","1,173"
"#4537","PankoCoff","96.12%","88,810","7,715","27","776","1,513"
"#4538","Warrio9","97.57%","91,865","7,715","48","496","334"
"#4539","Nedsing","99.00%","78,981","7,715","257","1,373","1,372"
"#4540","sirusi","98.76%","64,526","7,715","62","774","1,762"
"#4541","Nadfee","98.98%","54,105","7,715","69","840","969"
"#4542","[ Beatrice ]","99.46%","168,890","7,714","4,312","3,370","208"
"#4543","HeeJin","98.78%","45,416","7,714","47","488","535"
"#4544","Fiiired","99.06%","30,942","7,714","37","418","690"
"#4545","Jtcantwell","97.70%","41,564","7,714","23","553","1,818"
"#4546","[ Kuro Usagi ]","99.09%","88,044","7,713","592","2,432","1,073"
"#4547","Ivoherman","98.80%","59,263","7,713","57","438","612"
"#4548","_Xaina","95.12%","53,049","7,713","18","364","1,039"
"#4549","[AlexanderHell]","96.78%","112,747","7,712","9","183","188"
"#4550","Slendy","98.86%","66,448","7,712","90","1,091","1,306"
"#4551","Odiz","98.95%","53,049","7,711","39","371","671"
"#4552","dogdog","98.95%","78,670","7,710","21","821","904"
"#4553","my angel kodama","98.21%","39,833","7,710","9","296","496"
"#4554","Bleenk","99.04%","83,080","7,710","98","963","948"
"#4555","- Satori","98.94%","67,207","7,709","80","1,441","1,620"
"#4556","Anby","99.32%","79,553","7,709","59","786","1,784"
"#4557","Glinky","99.34%","81,625","7,709","99","633","738"
"#4558","Cat on Mars","99.28%","13,399","7,709","57","545","307"
"#4559","QAQ","99.19%","103,494","7,708","927","7,343","1,602"
"#4560","N I G A V","97.15%","56,590","7,708","42","848","1,242"
"#4561","ORyan777","98.96%","75,021","7,708","132","1,407","714"
"#4562","Amamiya","99.17%","50,461","7,707","33","791","987"
"#4563","Zyxus","96.06%","91,304","7,707","9","439","607"
"#4564","Bry Guy","99.39%","78,744","7,707","76","477","903"
"#4565","-KCat","98.95%","80,950","7,707","115","1,539","817"
"#4566","RedSkyNight","98.24%","89,874","7,706","50","575","653"
"#4567","[ 65 ]","98.21%","31,089","7,706","17","495","673"
"#4568","Zanik","97.74%","89,675","7,706","69","1,474","2,006"
"#4569","System_error","95.81%","39,978","7,706","19","345","399"
"#4570","Chris--","96.41%","28,157","7,705","29","570","721"
"#4571","-Hwangbo","98.50%","51,548","7,705","44","578","719"
"#4572","Flancat","98.68%","29,786","7,705","14","473","1,056"
"#4573","NeNe_GoShyuJiN","99.63%","128,604","7,705","833","3,245","33"
"#4574","hoohleno","96.19%","77,737","7,705","21","557","584"
"#4575","jump_rvr","98.38%","56,873","7,705","122","1,133","808"
"#4576","SakuraFrost225","97.87%","75,704","7,704","40","711","1,257"
"#4577","phophicles","98.55%","41,168","7,704","54","492","429"
"#4578","[ScarletFang]","99.25%","41,921","7,704","27","484","675"
"#4579","Rikolino-kun","98.55%","103,596","7,704","53","631","685"
"#4580","Toukai","99.05%","118,179","7,704","719","3,902","370"
"#4581","Guiz","99.32%","62,370","7,704","71","841","952"
"#4582","SchiZZe","99.38%","28,418","7,703","538","1,172","446"
"#4583","Adarchi","99.00%","55,646","7,703","29","408","1,037"
"#4584","Wiz Khalifa","93.73%","125,423","7,703","72","477","808"
"#4585","LosingCrayon","99.76%","115,643","7,703","2,024","397","1,506"
"#4586","VineOpoly","98.62%","58,978","7,702","32","685","567"
"#4587","Rikka-","98.29%","81,649","7,702","41","876","852"
"#4588","k7seven","98.92%","48,360","7,702","48","610","900"
"#4589","EhaGluTinous","97.87%","65,256","7,701","41","743","579"
"#4590","Farm like a DOG","98.90%","90,550","7,701","39","1,378","2,589"
"#4591","ULTIMATUM9000","98.24%","21,626","7,701","12","466","356"
"#4592","Xer_91","98.96%","151,032","7,701","44","1,098","1,393"
"#4593","MarekKratochvil","98.03%","64,282","7,701","56","1,091","1,453"
"#4594","Hulix","97.61%","49,348","7,701","3","233","178"
"#4595","reflexbeast","97.12%","44,500","7,701","41","623","952"
"#4596","Chilluno","99.29%","56,593","7,701","97","819","1,560"
"#4597","Luisiho","99.08%","50,438","7,700","139","1,437","1,151"
"#4598","GamerJayden","98.74%","32,008","7,700","52","676","1,683"
"#4599","-ImNayeon-","97.32%","107,867","7,700","18","365","853"
"#4600","Froster23","93.79%","51,572","7,700","7","248","495"
"#4601","Vordi","97.48%","48,888","7,700","20","407","550"
"#4602","_Shirase","98.02%","86,468","7,700","11","450","1,070"
"#4603","BearGreeD","98.30%","29,579","7,700","13","395","502"
"#4604","Kicker","98.19%","34,785","7,700","25","550","896"
"#4605","Benton","98.59%","75,302","7,699","88","998","694"
"#4606","mrbonk","97.75%","127,848","7,699","62","2,308","2,224"
"#4607","Evase","97.24%","52,389","7,699","40","602","743"
"#4608","Polynomial Time","99.30%","37,398","7,698","39","661","895"
"#4609","KiiRiiTZu","98.07%","40,025","7,697","172","1,411","1,263"
"#4610","Multtari","98.80%","97,943","7,697","78","2,590","3,065"
"#4611","TheSkyfox","98.86%","41,955","7,697","41","477","815"
"#4612","Vitu","98.73%","126,472","7,696","238","2,589","2,122"
"#4613","Suprawn","99.15%","44,089","7,696","90","1,366","1,498"
"#4614","LoliFow","98.66%","85,983","7,696","59","614","934"
"#4615","stiendat","97.55%","8,430","7,696","765","523","163"
"#4616","xXKorreal420Xx","99.00%","52,801","7,695","91","676","307"
"#4617","demisemiquaver","98.90%","44,130","7,695","151","1,230","1,750"
"#4618","Monkeybreath","99.00%","35,691","7,695","11","654","450"
"#4619","xXmcgamer2004Xx","99.13%","119,116","7,695","117","1,944","2,652"
"#4620","SansREPZ","97.14%","72,107","7,695","54","309","706"
"#4621","uwujulio","99.25%","46,912","7,694","23","601","881"
"#4622","Chemistry","95.74%","73,258","7,694","47","447","868"
"#4623","Paato","99.25%","98,849","7,694","42","494","685"
"#4624","Jap","98.39%","93,718","7,694","41","481","594"
"#4625","Dezku","97.13%","55,730","7,694","41","354","256"
"#4626","-Mudkip-","98.50%","90,662","7,694","7","224","999"
"#4627","Hisden","99.39%","128,311","7,693","53","766","1,853"
"#4628","GimmeYourSkill","97.99%","37,602","7,693","11","396","1,148"
"#4629","Soly","98.39%","61,254","7,693","43","1,113","1,204"
"#4630","Black Sheep","99.05%","165,692","7,693","542","3,295","777"
"#4631","Squeeble","98.59%","111,641","7,693","29","880","1,581"
"#4632","KGB","98.98%","51,577","7,693","111","674","668"
"#4633","Batmann248","98.48%","86,566","7,692","11","615","904"
"#4634","SillyFangirl","95.67%","33,045","7,692","27","686","777"
"#4635","Rika Furude","98.98%","41,713","7,692","60","594","1,245"
"#4636","yotm","99.40%","41,966","7,692","257","1,056","1,624"
"#4637","tamaki","98.94%","42,992","7,692","17","216","748"
"#4638","Woody11","98.67%","63,464","7,691","56","940","1,647"
"#4639","Esplectioned","98.77%","76,117","7,691","18","668","969"
"#4640","hurty","96.26%","152,400","7,691","118","1,670","2,125"
"#4641","BeDuck","99.11%","53,135","7,691","109","1,105","1,768"
"#4642","jvt","98.75%","48,082","7,691","39","878","1,493"
"#4643","Hiokma","98.91%","12,251","7,691","10","172","55"
"#4644","discoczibi","99.08%","39,894","7,691","47","894","2,259"
"#4645","spoN","98.34%","91,862","7,690","22","309","707"
"#4646","Nyahrumanyah","99.23%","115,620","7,690","2,542","747","543"
"#4647","bakaco","96.57%","29,688","7,690","31","444","710"
"#4648","MRL","98.54%","68,860","7,689","23","508","1,241"
"#4649","SleepPK","99.67%","14,389","7,689","112","343","319"
"#4650","Gusty","95.92%","162,779","7,689","69","818","1,114"
"#4651","Wolther","97.03%","57,834","7,688","145","1,363","1,967"
"#4652","ESkelett","98.38%","43,948","7,688","5","327","1,079"
"#4653","Slowth","98.25%","50,348","7,688","22","794","2,347"
"#4654","Tobi","99.16%","130,649","7,687","80","1,296","1,115"
"#4655","Slowest","98.78%","98,023","7,687","112","764","584"
"#4656","grimacee","98.87%","152,735","7,686","554","2,844","1,853"
"#4657","Lil Silv","98.74%","43,254","7,686","55","952","746"
"#4658","Dogetato","98.74%","38,013","7,686","12","363","590"
"#4659","MyAngelPhoonie","98.54%","51,731","7,686","32","490","400"
"#4660","Shinoue","99.28%","70,764","7,686","193","885","602"
"#4661","ThunderrtrollMC","97.33%","60,326","7,685","13","712","803"
"#4662","Adampai","98.22%","69,607","7,685","245","1,625","1,264"
"#4663","[ Destroid ]","99.09%","69,481","7,684","38","589","589"
"#4664","Qchan","98.05%","52,464","7,684","62","884","534"
"#4665","Anq","97.65%","132,709","7,684","148","2,105","5,450"
"#4666","Zeri0um","97.08%","91,926","7,684","74","1,500","489"
"#4667","N a n a m i","98.10%","66,342","7,684","39","1,149","769"
"#4668","Unknown OwO","97.92%","93,505","7,683","90","930","1,359"
"#4669","LXShade","98.16%","53,765","7,683","51","1,466","13"
"#4670","Ramius","98.57%","79,996","7,683","67","1,072","492"
"#4671","GodKei","98.43%","94,601","7,683","54","1,280","1,958"
"#4672","Jaeky","99.41%","69,609","7,683","30","944","1,209"
"#4673","-Aiumi-","99.10%","36,383","7,683","64","617","800"
"#4674","Watr","95.83%","75,992","7,682","3","212","890"
"#4675","Twiggykun","97.74%","93,379","7,682","25","502","1,751"
"#4676","AidBucket","95.34%","59,676","7,682","95","1,707","1,600"
"#4677","Evis-","98.58%","39,741","7,681","79","1,229","120"
"#4678","-Shinryaku-","98.98%","67,859","7,681","273","1,373","863"
"#4679","FANTAstic","99.25%","40,704","7,681","83","1,310","1,057"
"#4680","TytnD","98.62%","37,030","7,681","8","372","565"
"#4681","Ftyan","98.98%","43,399","7,680","32","627","723"
"#4682","Littleboy40","98.11%","74,882","7,680","94","1,423","1,541"
"#4683","Autox","99.13%","48,308","7,680","145","696","914"
"#4684","hyunpung123","97.66%","52,859","7,680","84","745","556"
"#4685","Mats Y","98.19%","22,625","7,680","29","600","720"
"#4686","Zetera","99.28%","69,292","7,680","619","1,838","1,290"
