"rank","username","acc","playcount","performance","SS","S","A"
368,"ShirohaMyMommy",99.35,98020,11271,411,2358,848
369,"seneaL",97.86,15401,11270,14,187,221
370,"nah",97.35,24414,11270,19,263,799
371,"Zekker",98.67,96688,11269,752,791,763
372,"Petal",96.55,73671,11257,46,780,758
373,"Shaiden",98.78,86700,11254,80,1213,689
374,"TrueC1e4rFanboy",97.46,57044,11254,15,108,240
375,"SilverAkcel",98.68,113560,11252,49,781,639
376,"Recia",99.12,109626,11250,680,2956,411
377,"jordanlr7",98.6,78056,11249,111,920,1166
378,"Ronk",95.86,68146,11248,7,520,826
379,"fyre",97.54,116126,11245,225,759,1016
380,"ByYoshi14",98.73,76234,11227,118,991,1220
381,"Too Slow",98.54,122723,11222,124,1454,2442
382,"[RyuTell]",98.8,61070,11218,83,633,738
383,"YummyinmyTummy",99.45,60697,11216,116,812,1067
384,"cmnk",98.08,89264,11216,120,1171,1373
385,"zonelouise",98.95,63338,11211,219,1119,833
386,"Yakui",96.72,40978,11211,48,812,947
387,"ededed028",97.83,113752,11211,48,617,508
388,"hshs",98.5,185507,11209,295,2920,1589
389,"Rexeez",98.58,82137,11200,75,1418,1944
390,"Dizick",98.53,147812,11199,20,556,1378
391,"CrtReXn",99.28,149685,11193,168,2337,2353
392,"Izuko Gaen",99.17,67238,11193,89,932,1527
393,"BlueSky-",98.38,91208,11189,22,845,974
394,"Dylson",99.37,111709,11186,152,2329,960
395,"intenseGoat",98.7,94331,11186,58,758,919
396,"suffix",96,103935,11183,41,858,1366
397,"BAKKALO",97.71,114930,11182,76,1110,1601
398,"Freezd",99.29,82352,11181,97,626,840
399,"imagaK",98.78,141841,11180,292,3132,1538
400,"Spork Lover",99.08,119749,11172,398,3583,2537
401,"KyoouN",99.02,141702,11168,43,936,1013
402,"Gala",98.51,104173,11157,36,510,892
403,"Otters",98.81,57886,11153,63,440,488
404,"Alexandrine",97.51,72769,11152,8,227,400
405,"Failing",97.99,65813,11151,116,1201,687
406,"Mistya",98.9,143513,11145,433,2489,1241
407,"ReaL motion",99.29,170922,11143,214,2917,1906
408,"Konam",97.38,87139,11143,145,1742,1985
409,"Zestiny",95.66,81787,11137,57,1240,1967
410,"Anroyz",98.66,199494,11131,70,1224,2147
411,"takoz53",99.24,14978,11131,22,358,357
412,"FlySlime",95.71,84604,11130,124,1107,1287
413,"ant0ni",97.07,80985,11129,26,457,484
414,"Vivace",98.13,104692,11125,29,820,1019
415,"-Snowy-",97.72,95792,11120,106,2095,1592
416,"lespi6",98.01,123730,11116,126,2055,4658
417,"Numbers",98.78,102280,11112,24,848,1106
418,"CeilingWaffle",99.03,151520,11107,97,2113,1517
419,"Axarious",97.4,66547,11106,35,860,512
420,"kaif",97.48,94563,11103,124,1161,1903
421,"FreeZeR",98.76,66638,11102,192,1575,1541
422,"PikaPwn",99.35,78000,11102,125,1065,1226
423,"-Zirba-",98.8,79125,11102,40,833,818
424,"Legendre 2",97.68,57766,11100,463,2818,2134
425,"-Strafe",98.89,95998,11100,56,902,1663
426,"Cerkie",99.19,175868,11100,393,1634,1673
427,"Myst1k",98.76,142882,11096,141,1730,1467
428,"FunOrange",99.24,82408,11096,160,1259,1067
429,"fudu",98.56,205030,11095,945,3367,1370
430,"Tofunim",97.74,110003,11093,5,435,1266
431,"Diallo",98.2,95661,11090,84,847,1891
432,"Flask",98.84,75269,11089,177,2574,1744
433,"Meiku",98.17,119657,11078,151,900,797
434,"mniminwoo",99.17,145988,11074,118,1479,1735
435,"Sofia",96.4,59721,11074,13,959,752
436,"Apo11o",96.78,116166,11071,265,1833,587
437,"Sancho",98.14,85574,11064,116,1229,1119
438,"Banakorrrr",96.7,74268,11062,29,556,1047
439,"Chamosiala",98.96,79037,11058,417,2246,1874
440,"9sh26",98.14,143352,11054,112,370,821
441,"Daichi",99.34,106998,11054,264,1243,1955
442,"RivenXLukario",97.88,176537,11053,62,1622,1423
